2026-07-22 11:17:28,967 - AIEquityResearchPlatform - DEBUG - [test_utils.py:25] - Test log message.
[2026-07-22 11:24:52,160] INFO    - [cache:126      ] - Cached data saved for ticker TEST_STOCK | ticker=TEST_STOCK
[2026-07-22 11:24:52,165] INFO    - [cache:103      ] - Cache HIT for ticker TEST_STOCK | ticker=TEST_STOCK
[2026-07-22 11:24:52,173] INFO    - [cache:126      ] - Cached data saved for ticker TEST_VALIDITY | ticker=TEST_VALIDITY
[2026-07-22 11:24:52,189] INFO    - [downloader:73  ] - Successfully cleaned and validated data for TEST_TICKER. Rows: 4 | ticker=TEST_TICKER
[2026-07-22 11:24:52,193] INFO    - [downloader:86  ] - Downloading ticker data from yfinance: RELIANCE.NS (Years: 2) | ticker=RELIANCE.NS
[2026-07-22 11:24:52,197] INFO    - [downloader:73  ] - Successfully cleaned and validated data for RELIANCE.NS. Rows: 3 | ticker=RELIANCE.NS
[2026-07-22 11:24:52,202] INFO    - [market_downloader:28] - Market index cache miss for ^NSEI. Downloading... | ticker=^NSEI
[2026-07-22 11:24:52,204] INFO    - [cache:126      ] - Cached data saved for ticker ^NSEI | ticker=^NSEI
[2026-07-22 11:24:52,207] INFO    - [cache:103      ] - Cache HIT for ticker ^NSEI | ticker=^NSEI
[2026-07-22 11:30:07,761] INFO    - [cache:126      ] - Cached data saved for ticker TEST_STOCK | ticker=TEST_STOCK
[2026-07-22 11:30:07,766] INFO    - [cache:103      ] - Cache HIT for ticker TEST_STOCK | ticker=TEST_STOCK
[2026-07-22 11:30:07,773] INFO    - [cache:126      ] - Cached data saved for ticker TEST_VALIDITY | ticker=TEST_VALIDITY
[2026-07-22 11:30:07,793] INFO    - [downloader:73  ] - Successfully cleaned and validated data for TEST_TICKER. Rows: 4 | ticker=TEST_TICKER
[2026-07-22 11:30:07,798] INFO    - [downloader:86  ] - Downloading ticker data from yfinance: RELIANCE.NS (Years: 2) | ticker=RELIANCE.NS
[2026-07-22 11:30:07,802] INFO    - [downloader:73  ] - Successfully cleaned and validated data for RELIANCE.NS. Rows: 3 | ticker=RELIANCE.NS
[2026-07-22 11:30:07,822] ERROR   - [feature_store:114] - Failed to save Parquet features for RELIANCE_TEST: 'bytes' object has no attribute 'encode' | ticker=RELIANCE_TEST
[2026-07-22 11:30:08,199] INFO    - [feature_store:35] - No features Parquet file found for INFY_TEST at storage/test_features\INFY_TEST.parquet | ticker=INFY_TEST
[2026-07-22 11:30:08,199] INFO    - [feature_store:126] - Initializing new Feature Store for INFY_TEST during raw_ohlc | ticker=INFY_TEST
[2026-07-22 11:30:08,201] ERROR   - [feature_store:114] - Failed to save Parquet features for INFY_TEST: 'bytes' object has no attribute 'encode' | ticker=INFY_TEST
[2026-07-22 11:30:08,276] INFO    - [indicators:273 ] - Computing technical indicators across all categories...
[2026-07-22 11:30:08,340] INFO    - [indicators:289 ] - Successfully computed 53 indicator columns.
[2026-07-22 11:30:08,341] INFO    - [candlestick:169] - Computing price action returns and candlestick patterns...
[2026-07-22 11:30:08,365] INFO    - [candlestick:184] - Successfully computed 15 price action / pattern columns.
[2026-07-22 11:30:08,371] INFO    - [market_downloader:28] - Market index cache miss for ^NSEI. Downloading... | ticker=^NSEI
[2026-07-22 11:30:08,373] INFO    - [cache:126      ] - Cached data saved for ticker ^NSEI | ticker=^NSEI
[2026-07-22 11:30:08,376] INFO    - [cache:103      ] - Cache HIT for ticker ^NSEI | ticker=^NSEI
[2026-07-22 11:30:33,911] INFO    - [cache:126      ] - Cached data saved for ticker TEST_STOCK | ticker=TEST_STOCK
[2026-07-22 11:30:33,916] INFO    - [cache:103      ] - Cache HIT for ticker TEST_STOCK | ticker=TEST_STOCK
[2026-07-22 11:30:33,923] INFO    - [cache:126      ] - Cached data saved for ticker TEST_VALIDITY | ticker=TEST_VALIDITY
[2026-07-22 11:30:33,941] INFO    - [downloader:73  ] - Successfully cleaned and validated data for TEST_TICKER. Rows: 4 | ticker=TEST_TICKER
[2026-07-22 11:30:33,945] INFO    - [downloader:86  ] - Downloading ticker data from yfinance: RELIANCE.NS (Years: 2) | ticker=RELIANCE.NS
[2026-07-22 11:30:33,949] INFO    - [downloader:73  ] - Successfully cleaned and validated data for RELIANCE.NS. Rows: 3 | ticker=RELIANCE.NS
[2026-07-22 11:30:33,970] INFO    - [feature_store:118] - Saved Feature Store for RELIANCE_TEST to storage/test_features\RELIANCE_TEST.parquet | ticker=RELIANCE_TEST
[2026-07-22 11:30:35,981] INFO    - [feature_store:40] - Successfully loaded 2 features for RELIANCE_TEST | ticker=RELIANCE_TEST
[2026-07-22 11:30:35,986] INFO    - [feature_store:35] - No features Parquet file found for INFY_TEST at storage/test_features\INFY_TEST.parquet | ticker=INFY_TEST
[2026-07-22 11:30:35,986] INFO    - [feature_store:132] - Initializing new Feature Store for INFY_TEST during raw_ohlc | ticker=INFY_TEST
[2026-07-22 11:30:35,988] INFO    - [feature_store:118] - Saved Feature Store for INFY_TEST to storage/test_features\INFY_TEST.parquet | ticker=INFY_TEST
[2026-07-22 11:30:35,992] INFO    - [feature_store:40] - Successfully loaded 2 features for INFY_TEST | ticker=INFY_TEST
[2026-07-22 11:30:35,995] INFO    - [feature_store:118] - Saved Feature Store for INFY_TEST to storage/test_features\INFY_TEST.parquet | ticker=INFY_TEST
[2026-07-22 11:30:36,044] INFO    - [indicators:286 ] - Computing technical indicators across all categories...
[2026-07-22 11:30:36,105] INFO    - [indicators:302 ] - Successfully computed 53 indicator columns.
[2026-07-22 11:30:36,106] INFO    - [candlestick:169] - Computing price action returns and candlestick patterns...
[2026-07-22 11:30:36,125] INFO    - [candlestick:184] - Successfully computed 15 price action / pattern columns.
[2026-07-22 11:30:36,130] INFO    - [market_downloader:28] - Market index cache miss for ^NSEI. Downloading... | ticker=^NSEI
[2026-07-22 11:30:36,132] INFO    - [cache:126      ] - Cached data saved for ticker ^NSEI | ticker=^NSEI
[2026-07-22 11:30:36,135] INFO    - [cache:103      ] - Cache HIT for ticker ^NSEI | ticker=^NSEI
[2026-07-22 11:40:33,778] INFO    - [cache:126      ] - Cached data saved for ticker TEST_STOCK | ticker=TEST_STOCK
[2026-07-22 11:40:33,782] INFO    - [cache:103      ] - Cache HIT for ticker TEST_STOCK | ticker=TEST_STOCK
[2026-07-22 11:40:33,790] INFO    - [cache:126      ] - Cached data saved for ticker TEST_VALIDITY | ticker=TEST_VALIDITY
[2026-07-22 11:40:33,810] INFO    - [downloader:73  ] - Successfully cleaned and validated data for TEST_TICKER. Rows: 4 | ticker=TEST_TICKER
[2026-07-22 11:40:33,814] INFO    - [downloader:86  ] - Downloading ticker data from yfinance: RELIANCE.NS (Years: 2) | ticker=RELIANCE.NS
[2026-07-22 11:40:33,817] INFO    - [downloader:73  ] - Successfully cleaned and validated data for RELIANCE.NS. Rows: 3 | ticker=RELIANCE.NS
[2026-07-22 11:40:33,827] INFO    - [feature_store:118] - Saved Feature Store for RELIANCE_TEST to storage/test_features\RELIANCE_TEST.parquet | ticker=RELIANCE_TEST
[2026-07-22 11:40:33,850] INFO    - [feature_store:40] - Successfully loaded 2 features for RELIANCE_TEST | ticker=RELIANCE_TEST
[2026-07-22 11:40:33,855] INFO    - [feature_store:35] - No features Parquet file found for INFY_TEST at storage/test_features\INFY_TEST.parquet | ticker=INFY_TEST
[2026-07-22 11:40:33,856] INFO    - [feature_store:132] - Initializing new Feature Store for INFY_TEST during raw_ohlc | ticker=INFY_TEST
[2026-07-22 11:40:33,858] INFO    - [feature_store:118] - Saved Feature Store for INFY_TEST to storage/test_features\INFY_TEST.parquet | ticker=INFY_TEST
[2026-07-22 11:40:33,862] INFO    - [feature_store:40] - Successfully loaded 2 features for INFY_TEST | ticker=INFY_TEST
[2026-07-22 11:40:33,865] INFO    - [feature_store:118] - Saved Feature Store for INFY_TEST to storage/test_features\INFY_TEST.parquet | ticker=INFY_TEST
[2026-07-22 11:40:33,919] INFO    - [indicators:286 ] - Computing technical indicators across all categories...
[2026-07-22 11:40:33,979] INFO    - [indicators:302 ] - Successfully computed 53 indicator columns.
[2026-07-22 11:40:33,979] INFO    - [candlestick:169] - Computing price action returns and candlestick patterns...
[2026-07-22 11:40:33,998] INFO    - [candlestick:184] - Successfully computed 15 price action / pattern columns.
[2026-07-22 11:40:34,003] INFO    - [market_downloader:28] - Market index cache miss for ^NSEI. Downloading... | ticker=^NSEI
[2026-07-22 11:40:34,005] INFO    - [cache:126      ] - Cached data saved for ticker ^NSEI | ticker=^NSEI
[2026-07-22 11:40:34,009] INFO    - [cache:103      ] - Cache HIT for ticker ^NSEI | ticker=^NSEI
[2026-07-22 11:40:34,357] INFO    - [chart_data:31  ] - Constructing client visualization payload...
[2026-07-22 11:41:08,771] INFO    - [cache:126      ] - Cached data saved for ticker TEST_STOCK | ticker=TEST_STOCK
[2026-07-22 11:41:08,775] INFO    - [cache:103      ] - Cache HIT for ticker TEST_STOCK | ticker=TEST_STOCK
[2026-07-22 11:41:08,784] INFO    - [cache:126      ] - Cached data saved for ticker TEST_VALIDITY | ticker=TEST_VALIDITY
[2026-07-22 11:41:08,802] INFO    - [downloader:73  ] - Successfully cleaned and validated data for TEST_TICKER. Rows: 4 | ticker=TEST_TICKER
[2026-07-22 11:41:08,806] INFO    - [downloader:86  ] - Downloading ticker data from yfinance: RELIANCE.NS (Years: 2) | ticker=RELIANCE.NS
[2026-07-22 11:41:08,810] INFO    - [downloader:73  ] - Successfully cleaned and validated data for RELIANCE.NS. Rows: 3 | ticker=RELIANCE.NS
[2026-07-22 11:41:08,830] INFO    - [feature_store:118] - Saved Feature Store for RELIANCE_TEST to storage/test_features\RELIANCE_TEST.parquet | ticker=RELIANCE_TEST
